"Name";"Accepted_name_rank";"Accepted_name_family";"Genus_matched";"Specific_epithet_matched";"Accepted_name_species";"Taxonomic_status";"Overall_score";"Source";"fonction";"restriction";"description"
"Crataegus pinnatifida";"species";"Rosaceae";"Crataegus";"pinnatifida";"Crataegus pinnatifida";"Accepted";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";"Crataegus Pinnatifida Fruit Extract is the extract of the fruit of Crataegus pinnatifida, Rosaceae."
"Cymbopogon ambiguus";"species";"Poaceae";"Cymbopogon";"ambiguus";"Cymbopogon ambiguus";"Accepted";"1";"tpl";"ANTIOXIDANT, SKIN CONDITIONING";"";"Cymbopogon Ambiguus Leaf Extract is the extract of the leaves of Cymbopogon ambiguus, Poaceae."
"Cyrtomium falcatum";"species";"Dryopteridaceae";"Cyrtomium";"falcatum";"Cyrtomium falcatum";"Accepted";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";"Cyrtomium Falcatum Extract is the extract of the whole plant Cyrtomium falcatum, Dryopteridaceae."
"Cyrtopodium glutiniferum";"species";"Orchidaceae";"Cyrtopodium";"cardiochilum";"Cyrtopodium glutiniferum";"Synonym";"1";"tpl";"EMOLLIENT, HUMECTANT, SKIN CONDITIONING";"";"Cyrtopodium Cardiochilum Pseudobulb Extract is the extract of the pseudobulb of Cyrtopodium cardiochilum, Orchidaceae."
"Daphne feddei";"species";"Thymelaeaceae";"Daphne";"feddei";"Daphne feddei";"Accepted";"1";"tpl";"SKIN CONDITIONING";"";"Daphne Feddei Flower/Leaf/Stem Extract is the extract of the flowers, leaves and stems of Daphne feddei, Thymelaeaceae."
"Diospyros nitida";"species";"Ebenaceae";"Diospyros";"nitida";"Diospyros nitida";"Accepted";"1";"tpl;tropicos";"ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING";"";"Diospyros Nitida Fruit Extract is the extract of the fruit of Diospyros nitida, Ebenaceae."
"Dracocephalum ruyschiana";"species";"Lamiaceae";"Dracocephalum";"ruyschiana";"Dracocephalum ruyschiana";"Accepted";"1";"tpl;tropicos";"ANTIOXIDANT, BLEACHING, SKIN PROTECTING";"";"racocephalum Ruyschiana Callus Extract is the extract of the callus of Dracocephalum ruyschiana, Lamiaceae, grown in culture."
"Erythronium japonicum";"species";"Liliaceae";"Erythronium";"japonicum";"Erythronium japonicum";"Accepted";"1";"tpl;tropicos";"SKIN CONDITIONING";"";"Erythronium Japonicum Flower/Leaf/Stem Extract is the extract of the flowers, leaves, and stems of Erythronium japonicum, Liliaceae."
"Ficus lacor";"species";"Moraceae";"Ficus";"lacor";"Ficus lacor";"Accepted";"1";"tpl";"SKIN PROTECTING";"";"Ficus Lacor Bark Extract is the extract of the bark of Ficus lacor, Moraceae."
"Fritillaria thunbergii";"species";"Liliaceae";"Fritillaria";"thunbergii";"Fritillaria thunbergii";"Accepted";"1";"tpl;tropicos";"SKIN CONDITIONING";"";"Fritillaria Thunbergii Bulb Extract is the extract of the bulbs of Fritillaria thunbergii, Liliaceae."
"Garcinia hanburyi";"species";"Clusiaceae";"Garcinia";"hanburyi";"Garcinia hanburyi";"Accepted";"1";"tpl";"COSMETIC COLORANT";"";"Garcinia Hanburyi Sap Powder is the powder obtained from the dried, ground sap of Garcinia hanburyi, Clusiaceae."
"Glandularia tenera";"species";"Verbenaceae";"Glandularia";"tenera";"Glandularia tenera";"Accepted";"1";"tpl;tropicos;usda";"HUMECTANT, SKIN CONDITIONING";"";"Glandularia Tenera Flower/Leaf/Stem Extract is the extract of the flowers, leaves and stems of Glandularia tenera, Verbenaceae."
"Graptopetalum paraguayense";"species";"Crassulaceae";"Graptopetalum";"paraguayense";"Graptopetalum paraguayense";"Accepted";"1";"tpl";"ANTIOXIDANT";"";"Graptopetalum Paraguayense Extract is the extract of the whole plant Graptopetalum paraguayense, Crassulaceae."
"Hemistepta lyrata";"species";"Asteraceae";"Hemistepta";"lyrata";"Hemistepta lyrata";"Accepted";"1";"gcc";"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING";"";"Hemistepta Lyrata Extract is the extract of the whole plant, Hemistepta lyrata, Asteraceae."
"Heracleum moellendorffii";"species";"Apiaceae";"Heracleum";"moellendorffii";"Heracleum moellendorffii";"Accepted";"1";"tpl;tropicos";"SKIN CONDITIONING";"";"Heracleum Moellendorffii Leaf Extract is the extract of the leaves of Heracleum moellendorffii, Apiaceae."
"Hosta capitata";"species";"Asparagaceae";"Hosta";"capitata";"Hosta capitata";"Accepted";"1";"tpl";"NOT REPORTED";"";"Hosta Capitata Extract is the extract of the whole plant, Hosta capitata, Asparagaceae."
"Hubertia ambavilla";"species";"Asteraceae";"Hubertia";"ambavilla";"Hubertia ambavilla";"Accepted";"1";"tropicos";"ANTIMICROBIAL, ANTIOXIDANT, SKIN CONDITIONING";"";"Hubertia Ambavilla Flower/Leaf Extract is the extract of the flowers and leaves of Hubertia ambavilla, Asteraceae."
"Ixeridium dentatum";"species";"Asteraceae";"Ixeridium";"dentatum";"Ixeridium dentatum";"Accepted";"1";"gcc";"EMOLLIENT, HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING";"";"Ixeridium Dentatum Extract is the extract of the whole plant, Ixeridium dentatum, Asteraceae."
"Jacaranda caucana";"species";"Bignoniaceae";"Jacaranda";"caucana";"Jacaranda caucana";"Accepted";"1";"tpl;tropicos";"ANTIMICROBIAL, ANTIOXIDANT";"";"Jacaranda Caucana Leaf Extract is the extract of the leaves of Jacaranda caucana, Bignoniace."
"Jatropha mahafalensis";"species";"Euphorbiaceae";"Jatropha";"mahafalensis";"Jatropha mahafalensis";"Accepted";"1";"tpl";"EMOLLIENT, SKIN CONDITIONING";"";"Jatropha Mahafalensis Seed Oil is the fixed oil expressed from the seeds of Jatropha mahafalensis, Euphorbiaceae."
