Name_number;Name_submitted;Overall_score;Name_matched;Name_matched_rank;Name_score;Name_matched_author;Name_matched_url;Author_matched;Author_score;Family_matched;Family_score;Name_matched_accepted_family;Genus_matched;Genus_score;Specific_epithet_matched;Specific_epithet_score;Infraspecific_rank;Infraspecific_epithet_matched;Infraspecific_epithet_score;Infraspecific_rank_2;Infraspecific_epithet_2_matched;Infraspecific_epithet_2_score;Annotations;Unmatched_terms;Taxonomic_status;Accepted_name;Accepted_name_author;Accepted_name_rank;Accepted_name_url;Accepted_name_species;Accepted_name_family;Selected;Source;Warnings;Accepted_name_lsid
47;CINNAMOMUM CASSIA;1;Cinnamomum cassia;species;1;(L.) J.Presl;http://www.theplantlist.org/tpl1.1/record/kew-2721201;;;;;Lauraceae;Cinnamomum;1;cassia;1;;;;;;;;;Accepted;Cinnamomum cassia;(L.) J.Presl;species;http://www.theplantlist.org/tpl1.1/record/kew-2721201;Cinnamomum cassia;Lauraceae;true;tpl; ;
48;TRICHOSANTES KIRILOWII;0.99;Trichosanthes kirilowii;species;0.99;Maxim.;"http://www.theplantlist.org/tpl1.1/record/kew-2433223;http://www.tropicos.org/Name/9201111";;;;;Cucurbitaceae;Trichosanthes;0.92;kirilowii;1;;;;;;;;;Accepted;Trichosanthes kirilowii;Maxim.;species;"http://www.theplantlist.org/tpl1.1/record/kew-2433223;http://www.tropicos.org/Name/9201111";Trichosanthes kirilowii;Cucurbitaceae;true;"tpl;tropicos"; ;
49;ULMUS DAVIDIANA;1;Ulmus davidiana;species;1;Planch.;"http://www.theplantlist.org/tpl1.1/record/tro-33300012;http://www.tropicos.org/Name/33300012;http://plants.usda.gov/java/profile?symbol=ULDA";;;;;Ulmaceae;Ulmus;1;davidiana;1;;;;;;;;;Accepted;Ulmus davidiana;Planch.;species;"http://www.theplantlist.org/tpl1.1/record/tro-33300012;http://www.tropicos.org/Name/33300012;http://plants.usda.gov/java/profile?symbol=ULDA";Ulmus davidiana;Ulmaceae;true;"tpl;tropicos;usda"; ;
50;ROOT;0.5;Rosa;genus;0.5;;"http://www.theplantlist.org/tpl1.1/search?q=Rosa;http://plants.usda.gov/java/profile?symbol=ROSA5";;;;;Rosaceae;Rosa;0.5;;;;;;;;;;;Accepted;Rosa;;genus;"http://www.theplantlist.org/tpl1.1/search?q=Rosa;http://plants.usda.gov/java/profile?symbol=ROSA5";;Rosaceae;true;"tpl;usda"; ;
51;PAEONIA JAPONICA;1;Paeonia japonica;species;1;(Makino) Miyabe & H.Takeda;http://www.theplantlist.org/tpl1.1/record/kew-2560838;;;;;Paeoniaceae;Paeonia;1;japonica;1;;;;;;;;;Synonym;Paeonia obovata;Maxim.;species;http://www.theplantlist.org/tpl1.1/record/kew-2561046;Paeonia obovata;Paeoniaceae;true;tpl; [Ambiguous match] ;
52;BUPLEURUM FALCATUM;1;Bupleurum falcatum;species;1;L.;"http://www.theplantlist.org/tpl1.1/record/kew-2686570;http://www.tropicos.org/Name/1700338";;;;;Apiaceae;Bupleurum;1;falcatum;1;;;;;;;;;Accepted;Bupleurum falcatum;L.;species;"http://www.theplantlist.org/tpl1.1/record/kew-2686570;http://www.tropicos.org/Name/1700338";Bupleurum falcatum;Apiaceae;true;"tpl;tropicos"; ;
53;POLYGALA TENUIFOLIA;1;Polygala tenuifolia;species;1;Willd.;"http://www.theplantlist.org/tpl1.1/record/kew-2572065;http://www.tropicos.org/Name/25900699";;;;;Polygalaceae;Polygala;1;tenuifolia;1;;;;;;;;;Accepted;Polygala tenuifolia;Willd.;species;"http://www.theplantlist.org/tpl1.1/record/kew-2572065;http://www.tropicos.org/Name/25900699";Polygala tenuifolia;Polygalaceae;true;"tpl;tropicos"; ;
54;VISCUS ALBUM;0.97;Viscum album;species;0.97;L.;"http://www.theplantlist.org/tpl1.1/record/kew-2461327;http://www.tropicos.org/Name/19100033;http://plants.usda.gov/java/profile?symbol=VIAL2";;;;;Santalaceae;Viscum;0.83;album;1;;;;;;;;;Accepted;Viscum album;L.;species;"http://www.theplantlist.org/tpl1.1/record/kew-2461327;http://www.tropicos.org/Name/19100033;http://plants.usda.gov/java/profile?symbol=VIAL2";Viscum album;Santalaceae;true;"tpl;tropicos;usda"; ;
55;APPLE;0;No suitable matches found.;;0;;;;0;;0;;;0;;0;;;0;;;0;;;;;;;;;;true;; ;
56;CITRUS JUNOS;1;Citrus junos;species;1;Siebold ex Tanaka;"http://www.theplantlist.org/tpl1.1/record/tro-50064889;http://www.tropicos.org/Name/50064889";;;;;Rutaceae;Citrus;1;junos;1;;;;;;;;;Accepted;Citrus junos;Siebold ex Tanaka;species;"http://www.theplantlist.org/tpl1.1/record/tro-50064889;http://www.tropicos.org/Name/50064889";Citrus junos;Rutaceae;true;"tpl;tropicos"; ;
