Longitude	Latitude	Species_TNRS	lon.test	lat.test
149,291896	-29,23316222	Abeliophyllum distichum	0,291895958	0,233162216
149,6293796	-36,75858248	Abeliophyllum distichum	0,629379588	0,758582483
145,0663	-37,87	Abeliophyllum distichum	0,0663	0,87
147,4697	-36,5325	Abeliophyllum distichum	0,4697	0,5325
145,6205	-37,7183	Abeliophyllum distichum	0,6205	0,7183
151,1494406	-29,37036792	Abeliophyllum distichum	0,149440554	0,370367916
151,4852896	-33,18370715	Abeliophyllum distichum	0,485289576	0,183707148
144,963	-37,5188	Abeliophyllum distichum	0,963	0,5188
150,93	-33,699	Abeliophyllum distichum	0,93	0,699
151,6060976	-29,01814231	Abeliophyllum distichum	0,606097555	0,018142309
144,3094	-38,1488	Abeliophyllum distichum	0,3094	0,1488
139,566667	-34,7	Abeliophyllum distichum	0,566667	0,7
144,7991	-37,643	Abeliophyllum distichum	0,7991	0,643
150,745	-28,59305556	Abeliophyllum distichum	0,745	0,593055556
146,2889	-36,3367	Abeliophyllum distichum	0,2889	0,3367
151,3869115	-25,98564013	Abeliophyllum distichum	0,386911534	0,985640128
145,3	-36,2	Abeliophyllum distichum	0,3	0,2
146,05	-41,166667	Abeliophyllum distichum	0,05	0,166667
145,3058	-37,7166	Abeliophyllum distichum	0,3058	0,7166
142,2666667	-34,3	Abeliophyllum distichum	0,266666667	0,3
152,2460818	-27,6159088	Abeliophyllum distichum	0,246081833	0,615908801
138,88461	-35,53537	Abeliophyllum distichum	0,88461	0,53537
151,2108302	-30,6643142	Abeliophyllum distichum	0,210830159	0,664314204
145,1386	-37,743	Abeliophyllum distichum	0,1386	0,743
151,4314165	-33,25209695	Abeliophyllum distichum	0,431416529	0,252096946
144,3	-38,1483	Abeliophyllum distichum	0,3	0,1483
146,642504	-42,658006	Abeliophyllum distichum	0,642504	0,658006
145,3297	-38,069	Abeliophyllum distichum	0,3297	0,069
139,31706	-35,6897	Abeliophyllum distichum	0,31706	0,6897
