"Species_TNRS";"Species";"Longitude";"Latitude";"Country";"Locality";"Elevation";"Event_date";"Extracted_from";"Restriction"
"Abeliophyllum distichum";"Rhizogonium distichum";167,832;-46,3323;"New Zealand";""; ;"2010-12-07";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";169,498;-44,1709;"New Zealand";""; ;"1960-12-27";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";143,553;-38,7997;"Australia";"D3434900"; ;"2002-12-09";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,063255242;-29,585766179;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";151,735878556;-28,128449201;"Australia";"6.7KM FROM PRATTEN - CUNNINGHAM ROAD ON HAZELDENE ROAD, C. 4KM S OF PRATTEN"; ;"2001-12-05";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,094959396;-29,612371488;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,775145879;-31,093455888;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,080398115;-29,536416105;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,081443004;-29,578148043;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";150,754631373;-33,824820857;"Australia";"locality withheld"; ;"2013-12-03";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";145,4038;-38,0719;"Australia";"T2444000"; ;"2003-12-23";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";142,8;-38,1;"Australia";"Discretional 4"; ;"2011-12-09";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";147,9167;-43,0167;"Australia";"1 mile NE of Eaglehawk Neck."; ;"1952-12-18";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,091710339;-29,571552964;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,083469234;-29,543571222;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,592671698;-30,928914315;"Australia";"locality withheld"; ;"2009-12-15";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,13170003;-29,502873425;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";138,566667;-34,916667;"Australia";"Hindmarsh"; ;"1945-12-22";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,13746047;-29,695789095;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,18340826;-29,473191183;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";152,930948931;-30,956860015;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";151,22;-33,87;"Australia";"Governers Domain [Sydney] by Stakes [?]."; ;"1902-12-13";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";151,616805859;-32,855955306;"Australia";"locality withheld"; ;"2017-12-10";"ALA";""
"Abeliophyllum distichum";"Rhizogonium distichum";169,345;-46,445;"New Zealand";""; ;"2008-12-14";"ALA";""
"Abeliophyllum distichum";"Paspalum distichum";153,013990556;-29,654976179;"Australia";"locality withheld"; ;"1987-12-31";"ALA";""
